ID,Name,Latitude,Longitude
1,Indian Street Cravings,42.3505341,-71.075124
2,Moyzilla,42.3505341,-71.075124
3,Hungry Nomads,42.3505341,-71.075124
4,Chicken and Rice Guys ,42.3505341,-71.075124
5,Tacos Calleteco,42.3505341,-71.075124
6,Hungry Nomads,42.3505341,-71.075124
7,Indian Street Cravings,42.3605809,-71.057741
8,Chick-fil-A,42.3778336,-71.051037
9,Chick-fil-A,42.3778336,-71.051037
10,Indian Street Cravings,42.3404783,-71.088974
11,Indian Street Cravings,42.3404783,-71.088974
12,Zinnekens,42.3493844,-71.102356
13,Zinnekens,42.3493844,-71.102356
14,Zinnekens,42.3493844,-71.102356
15,Zinnekens,42.3493844,-71.102356
16,Zaaki,42.3493844,-71.102356
17,Zaaki,42.3493844,-71.102356
18,Tacos Calleteco,42.3528306,-71.045234
19,Indian Street Food Cravings,42.3528306,-71.045234
20,Tacos Calleteco,42.3442968,-71.052403
21,Zaaki,42.3640521,-71.068371
22,Bibim Box,42.3640521,-71.068371
23,Bibim Box,42.3640521,-71.068371
24,Chicken and RIce Guys,42.3640521,-71.068371
25,Bon Me,42.3640521,-71.068371
26,Lourdya Gourmet,42.3640521,-71.068371
27,Hungry Nomads,42.3640521,-71.068371
28,Indian Street Cravings,42.3640521,-71.068371
29,Indian Street Cravings,42.3640521,-71.068371
